#,course_id,title,dept_name,credits
1,787,C  Programming,Mech. Eng.,4
2,238,The Music of Donovan,Mech. Eng.,3
3,608,Electron Microscopy,Mech. Eng.,3
4,539,International Finance,Comp. Sci.,3
5,278,Greek Tragedy,Statistics,4
6,972,Greek Tragedy,Psychology,4
7,391,Virology,Biology,3
8,814,Compiler Design,Elec. Eng.,3
9,272,Geology,Mech. Eng.,3
10,612,Mobile Computing,Physics,3
11,237,Surfing,Cybernetics,3
12,313,International Trade,Marketing,3
13,887,Latin,Mech. Eng.,3
14,328,Composition and Literature,Cybernetics,3
15,984,Music of the 50s,History,3
16,241,Biostatistics,Geology,3
17,338,Graph Theory,Psychology,3
18,400,Visual BASIC,Psychology,4
19,760,How to Groom your Cat,Accounting,3
20,629,Finite Element Analysis,Cybernetics,3
21,762,The Monkeys,History,4
22,242,Rock and Roll,Marketing,3
23,482,FOCAL Programming,Psychology,4
24,581,Calculus,Pol. Sci.,4
25,843,Environmental Law,Math,4
26,679,The Beatles,Math,3
27,704,Marine Mammals,Geology,4
28,774,Game Programming,Cybernetics,4
29,591,Shakespeare,Pol. Sci.,4
30,319,World History,Finance,4
31,960,Tort Law,Civil Eng.,3
32,274,Corporate Law,Comp. Sci.,4
33,426,Video Gaming,Finance,3
34,852,World History,Athletics,4
35,408,Bankruptcy,Accounting,3
36,808,Organic Chemistry,English,4
37,902,Existentialism,Finance,3
38,730,Quantum Mechanics,Elec. Eng.,4
39,362,Embedded Systems,Finance,4
40,341,Quantum Mechanics,Cybernetics,3
41,582,Marine Mammals,Cybernetics,3
42,867,The IBM 360 Architecture,History,3
43,169,Marine Mammals,Elec. Eng.,3
44,680,Electricity and Magnetism,Civil Eng.,3
45,227,Elastic Structures,Languages,4
46,991,Transaction Processing,Psychology,3
47,366,Computational Biology,English,3
48,376,Cost Accounting,Physics,4
49,489,Journalism,Astronomy,4
50,663,Geology,Psychology,3
51,461,Physical Chemistry,Math,3
52,105,Image Processing,Astronomy,3
53,407,Industrial Organization,Languages,4
54,254,Security,Cybernetics,3
55,998,Immunology,Civil Eng.,4
56,457,Systems Software,History,3
57,401,Sanitary Engineering,Athletics,4
58,127,Thermodynamics,Geology,3
59,399,RPG Programming,Pol. Sci.,4
60,949,Japanese,Comp. Sci.,3
61,496,Aquatic Chemistry,Cybernetics,3
62,334,International Trade,Athletics,3
63,544,Differential Geometry,Statistics,3
64,451,Database System Concepts,Pol. Sci.,4
65,190,Romantic Literature,Civil Eng.,3
66,630,Religion,English,3
67,761,Existentialism,Athletics,3
68,804,Introduction to Burglary,Cybernetics,4
69,781,Compiler Design,Finance,4
70,805,Composition and Literature,Statistics,4
71,318,Geology,Cybernetics,3
72,353,Operating Systems,Psychology,3
73,394,C  Programming,Athletics,3
74,137,Manufacturing,Finance,3
