#,course_id,sec_id,semester,year,building,room_number,time_slot_id
1,313,1,Fall,2010,Chandler,804,N
2,747,1,Spring,2004,Gates,314,K
3,443,1,Spring,2010,Whitman,434,O
4,893,1,Fall,2007,Fairchild,145,B
5,663,1,Spring,2005,Fairchild,145,D
6,457,1,Spring,2001,Saucon,844,D
7,445,1,Spring,2001,Alumni,547,J
8,559,1,Fall,2002,Lamberton,134,J
9,239,1,Fall,2006,Taylor,183,C
10,802,1,Spring,2003,Saucon,113,J
11,158,1,Fall,2008,Whitman,434,F
12,735,1,Spring,2003,Drown,757,D
13,237,1,Spring,2008,Power,717,D
14,338,1,Spring,2007,Fairchild,145,G
15,376,1,Fall,2006,Power,717,K
16,927,1,Fall,2002,Saucon,180,F
17,692,1,Spring,2010,Taylor,183,I
18,867,1,Fall,2006,Taylor,183,E
19,561,1,Fall,2006,Main,45,L
20,604,1,Spring,2009,Bronfman,700,N
21,974,1,Fall,2003,Polya,808,H
22,959,1,Fall,2006,Saucon,180,M
23,702,1,Spring,2001,Saucon,113,O
24,631,1,Spring,2007,Taylor,183,E
25,334,1,Fall,2009,Taylor,812,O
26,274,1,Fall,2002,Main,425,N
27,366,1,Fall,2005,Saucon,844,O
28,545,1,Fall,2001,Saucon,180,P
29,486,1,Fall,2009,Whitman,134,K
30,426,1,Spring,2006,Lamberton,134,G
31,258,1,Fall,2007,Main,45,K
32,972,1,Spring,2009,Taylor,183,J
33,349,1,Spring,2008,Saucon,113,K
34,415,1,Fall,2010,Lamberton,134,D
35,137,1,Spring,2002,Fairchild,145,I
36,304,1,Fall,2009,Lamberton,143,H
37,468,1,Fall,2005,Lambeau,348,J
38,748,1,Fall,2003,Saucon,180,L
39,694,1,Fall,2002,Alumni,143,O
40,345,1,Spring,2008,Taylor,183,A
41,352,1,Spring,2006,Lambeau,348,M
42,581,1,Spring,2005,Alumni,547,G
43,493,1,Spring,2010,Lamberton,134,H
44,795,1,Spring,2004,Lamberton,143,D
45,793,1,Spring,2002,Nassau,45,F
46,237,2,Fall,2009,Fairchild,145,J
47,362,1,Fall,2005,Lamberton,143,I
48,642,1,Fall,2004,Saucon,113,D
49,808,1,Fall,2003,Polya,808,M
50,679,1,Spring,2010,Saucon,844,D
51,629,1,Spring,2003,Stabler,105,F
52,400,1,Spring,2007,Lambeau,348,M
53,599,1,Spring,2003,Chandler,804,D
54,760,1,Spring,2004,Garfield,119,A
55,843,1,Fall,2010,Fairchild,145,J
56,200,1,Spring,2007,Saucon,180,D
57,443,2,Spring,2002,Gates,707,K
58,612,1,Fall,2007,Lamberton,143,G
59,169,1,Spring,2007,Gates,314,A
60,791,1,Spring,2006,Polya,808,H
61,867,2,Fall,2010,Lamberton,134,M
62,489,1,Fall,2007,Lamberton,143,D
63,158,2,Spring,2008,Taylor,812,D
64,242,1,Fall,2009,Fairchild,145,C
65,960,1,Fall,2009,Lamberton,134,J
66,421,1,Fall,2004,Gates,707,E
67,105,1,Fall,2009,Chandler,375,C
68,591,1,Spring,2005,Saucon,180,F
69,192,1,Fall,2002,Polya,808,B
70,362,2,Fall,2006,Alumni,547,A
71,270,1,Spring,2010,Power,717,M
72,461,1,Fall,2002,Main,425,P
73,704,1,Spring,2008,Taylor,812,E
74,626,1,Fall,2006,Lamberton,143,B
75,105,2,Fall,2002,Taylor,183,C
76,696,1,Spring,2002,Saucon,180,E
77,962,1,Spring,2008,Nassau,45,L
78,362,3,Spring,2008,Bronfman,700,L
79,852,1,Spring,2008,Gates,707,F
80,949,1,Fall,2007,Saucon,180,B
81,482,1,Fall,2005,Whitman,434,H
82,527,1,Fall,2004,Saucon,113,M
83,476,1,Fall,2010,Drown,757,C
84,991,1,Spring,2008,Lamberton,134,J
85,408,1,Spring,2007,Taylor,812,C
86,319,1,Spring,2003,Rathbone,261,E
87,400,2,Fall,2003,Main,425,O
88,401,1,Fall,2003,Saucon,180,A
89,960,2,Fall,2006,Power,717,M
90,571,1,Spring,2004,Power,972,I
91,468,2,Fall,2007,Power,717,L
92,735,2,Spring,2010,Taylor,183,D
93,169,2,Fall,2002,Drown,757,L
94,496,1,Fall,2001,Taylor,812,I
95,200,2,Fall,2002,Chandler,375,D
96,875,1,Spring,2005,Power,717,P
97,603,1,Fall,2003,Taylor,812,P
98,408,2,Spring,2003,Taylor,183,J
99,338,2,Spring,2006,Stabler,105,J
100,864,1,Spring,2006,Power,972,D
