#,ID,course_id,sec_id,semester,year,grade
1,65901,401,1,Fall,2003,C-
2,24932,802,1,Spring,2003,B-
3,61332,200,1,Spring,2007,A-
4,73492,760,1,Spring,2004,A 
5,65715,843,1,Fall,2010,B+
6,58300,408,1,Spring,2007,B-
7,760,571,1,Spring,2004,B 
8,69730,313,1,Fall,2010,A 
9,94836,626,1,Fall,2006,C+
10,49391,603,1,Fall,2003,B-
11,48850,457,1,Spring,2001,C-
12,68999,169,1,Spring,2007,A+
13,53469,169,1,Spring,2007,C 
14,74016,747,1,Spring,2004,A-
15,49073,496,1,Fall,2001,C-
16,52866,795,1,Spring,2004,B 
17,83314,960,1,Fall,2009,A 
18,70359,599,1,Spring,2003,A-
19,88993,313,1,Fall,2010,C+
20,97042,192,1,Fall,2002,A-
21,33460,482,1,Fall,2005,C+
22,81207,239,1,Fall,2006,A+
23,68010,972,1,Spring,2009,A+
24,15517,489,1,Fall,2007,A+
25,8957,561,1,Fall,2006,C 
26,8986,927,1,Fall,2002,A 
27,7956,692,1,Spring,2010,C 
28,792,972,1,Spring,2009,A-
29,84189,791,1,Spring,2006,B-
30,92659,527,1,Fall,2004,C 
31,22198,612,1,Fall,2007,A-
32,8957,696,1,Spring,2002,B 
33,36244,401,1,Fall,2003,A-
34,97658,545,1,Fall,2001,A 
35,89104,352,1,Spring,2006,A+
36,5393,791,1,Spring,2006,A+
37,80248,793,1,Spring,2002,B-
38,30222,962,1,Spring,2008,B-
39,64155,421,1,Fall,2004,A+
40,99660,242,1,Fall,2009,A 
41,8517,802,1,Spring,2003,B-
42,31820,468,2,Fall,2007,B-
43,46769,334,1,Fall,2009,C-
44,43505,867,1,Fall,2006,A+
45,79589,158,2,Spring,2008,A 
46,70235,489,1,Fall,2007,C 
47,11126,304,1,Fall,2009,B+
48,27366,443,1,Spring,2010,A-
49,3576,338,1,Spring,2007,A-
50,3127,843,1,Fall,2010,B 
51,39619,362,2,Fall,2006,C+
52,33651,200,1,Spring,2007,C-
53,62520,702,1,Spring,2001,C-
54,86573,486,1,Fall,2009,B 
55,792,663,1,Spring,2005,B-
56,27528,313,1,Fall,2010,B 
57,52945,626,1,Fall,2006,C+
58,37103,581,1,Spring,2005,C+
59,11126,401,1,Fall,2003,B-
60,62152,105,1,Fall,2009,C+
61,3127,791,1,Spring,2006,B 
62,2848,445,1,Spring,2001,A 
63,20985,304,1,Fall,2009,A+
64,69628,426,1,Spring,2006,B 
65,78572,457,1,Spring,2001,C 
66,60366,426,1,Spring,2006,A 
67,52741,237,2,Fall,2009,B+
68,72501,400,2,Fall,2003,B-
69,5250,169,1,Spring,2007,C-
70,38013,802,1,Spring,2003,C 
71,88417,362,3,Spring,2008,A-
72,2286,843,1,Fall,2010,A 
73,15083,237,1,Spring,2008,B-
74,336,426,1,Spring,2006,A-
75,64934,169,2,Fall,2002,A-
76,499,692,1,Spring,2010,C-
77,56598,927,1,Fall,2002,C-
78,46074,376,1,Fall,2006,C-
79,47627,258,1,Fall,2007,A-
80,85063,581,1,Spring,2005,A+
81,43032,401,1,Fall,2003,B-
82,34055,962,1,Spring,2008,C 
83,16250,200,1,Spring,2007,B+
84,16907,137,1,Spring,2002,A 
85,66356,571,1,Spring,2004,B+
86,3335,679,1,Spring,2010,C 
87,72501,959,1,Fall,2006,C-
88,18583,642,1,Fall,2004,B+
89,53152,408,2,Spring,2003,C-
90,17924,867,2,Fall,2010,A+
91,77729,972,1,Spring,2009,B+
92,4248,571,1,Spring,2004,C 
93,46106,468,1,Fall,2005,C-
94,14621,338,2,Spring,2006,C-
95,14829,376,1,Fall,2006,C+
96,50658,421,1,Fall,2004,B 
97,44706,875,1,Spring,2005,C-
98,92949,960,1,Fall,2009,C 
99,66969,735,2,Spring,2010,C-
100,97658,852,1,Spring,2008,B-
101,17607,527,1,Fall,2004,B+
102,52876,445,1,Spring,2001,A 
103,56058,366,1,Fall,2005,B-
104,15883,571,1,Spring,2004,C 
105,99271,169,2,Fall,2002,C-
106,67560,443,2,Spring,2002,B 
107,85063,482,1,Fall,2005,C 
108,7287,642,1,Fall,2004,B-
109,35462,962,1,Spring,2008,C 
110,49450,949,1,Fall,2007,A-
111,78922,489,1,Fall,2007,B+
112,94569,960,1,Fall,2009,A+
113,1018,338,1,Spring,2007,A 
114,32245,962,1,Spring,2008,C 
115,51093,415,1,Fall,2010,C-
116,29390,443,1,Spring,2010,B+
